drug1,drug2,label
lopinavir and ritonavir ritonavir ritonavir ritonavir ritonavir,letrozole letrozole letrozole letrozole letrozole tablets,1
lansoprazole lansoprazole lansoprazole lansoprazole lansoprazole,tiotropium bromide and olodaterol tiotropium bromide tiotropium bromide inhalation spray tiotropium bromide tiotropium bromide,0
cephalexin cephalexin cephalexin cephalexin cephalexin,"linagliptin and metformin hydrochloride linagliptin and metformin hydrochloride empagliflozin, linagliptin, metformin hydrochloride linagliptin linagliptin",1
famotidine famotidine famotidine ibuprofen and famotidine famotidine,montelukast sodium montelukast sodium montelukast sodium montelukast sodium montelukast sodium,0
posaconazole posaconazole posaconazole posaconazole posaconazole,sirolimus sirolimus sirolimus sirolimus sirolimus,1
exenatide exenatide,danazol danazol danazol danazol,0
ranitidine ranitidine ranitidine ranitidine hydrochloride ranitidine hydrochloride,diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate diphenoxylate hydrochloride and atropine sulfate,1
eplerenone eplerenone eplerenone eplerenone eplerenone,oseltamivir phosphate oseltamivir phosphate oseltamivir phosphate oseltamivir phosphate oseltamivir,0
dabigatran etexilate dabigatran etexilate dabigatran etexilate dabigatran etexilate dabigatran etexilate,morphine sulfate morphine sulfate morphine sulfate morphine sulfate morphine sulfate,0
"linagliptin and metformin hydrochloride linagliptin and metformin hydrochloride empagliflozin, linagliptin, metformin hydrochloride linagliptin linagliptin",ondansetron hydrochloride ondansetron hydrochloride ondansetron ondansetron hydrochloride ondansetron,1
"povidone-iodine povidone-iodine povidone-iodine povidone iodine methylprednisolone acetate, lidocaine hydrochloride, bupivacaine hydrochloride, povidine iodine, sodium chloride, isopropyl alcohol",tacrolimus extended-release capsules tacrolimus tacrolimus tacrolimus tacrolimus,0
bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride bupropion hydrochloride,capecitabine capecitabine capecitabine capecitabine capecitabine,0
omeprazole omeprazole omeprazole omeprazole magnesium omeprazole,warfarin sodium warfarin sodium warfarin sodium warfarin sodium warfarin sodium,1
"clarithromycin clarithromycin clarithromycin vonoprazan fumarate and amoxicillin, vonoprazan fumarate, amoxicillin and clarithromycin clarithromycin",phenobarbital phenobarbital phenobarbital phenobarbital phenobarbital,1
